"tweet_text","tweet_datetime","latitude","longitude","keyword"
"Buikgriep is niet leuk:(",2014-01-12 09:32:35,53.0584429,5.6774924,"griep"
"Snel beter worden, want met griep op bed is ook niks...",2014-01-12 11:05:47,51.7723668,5.5617116,"griep"
"Rugpijn weg maar nu aansluitend geveld door de griep. Lekker begin van 2014. Maar ook geen nieuwjaarsborrel bij @zalenvanveen.",2014-01-12 15:09:11,52.98046732,6.51728224,"griep"
"@NandaGriep 😭😭😭😭",2014-01-13 01:45:45,52.06373136,4.33417425,"griep"
"Na week griep vandaag weer aan de bak. Met frisse moed. Nu eerst #file.",2014-01-13 06:42:38,51.28105493,5.6535364,"griep"
"Mn email ''archiveren'' na een weekje griep... NIET LEUK... Toe aan #zomer vakantie ... @538",2014-01-13 09:41:18,51.8734662,4.5394462,"griep"
"Vormgeven met klamme handjes. Waarom voel ik alweer een griep opkomen. #paracetamol #keelpijn #hoofdpijn #zweet #ikgeefernietaantoe",2014-01-13 11:35:13,51.59492567,4.78196289,"griep"
"Vandaag maar even geen  #fitness #buikgriep onderdewol",2014-01-13 15:36:40,53.1627005,6.3929802,"griep"
"Gezonde maaltijd maken net mijn grieplijf. Bikkel.",2014-01-13 16:23:35,52.0046926,4.3894259,"griep"
"Griep",2014-01-13 19:27:20,51.7747979,5.504725,"griep"
"lieverd griep dan verkouden.. bah ik haat dit",2014-01-13 20:29:15,52.18141804,5.4102714,"griep"
"@MarinusHuisman Een nieuwe campagnetactiek als raadslid met griep vanuit huis commentaar leveren over de raadsvergadering? #Westvoorne #hmm",2014-01-13 20:34:21,51.91071724,4.5254678,"griep"
"@MarinusHuisman Met griep moet je naar bed. #welterusten #beterschap",2014-01-13 20:49:04,51.9107482,4.52550556,"griep"
"Buikgriep :(",2014-01-13 20:51:33,52.0854503,4.752068,"griep"
"Jongste heeft #buikgriep. Veel buikpijn en spugen. Nu maar hopen dat ze niet de rest van het gezin aansteekt.",2014-01-13 21:21:58,51.69994623,5.28470104,"griep"
"Griep, wat een feest weer. Net nu ik eigenlijk voor de actieweek moet leren vanmiddag, maar men boeken liggen nog in men kluisje..",2014-01-14 07:13:43,52.4195908,5.8724217,"griep"
"Ik heb een zielig vogeltje hier op de bank liggen. In betere omstandigheden ook bekend als jongste dochter. #buikgriep",2014-01-14 07:24:30,51.70049385,5.28570831,"griep"
