"tweet_text","tweet_datetime","latitude","longitude","keyword"
"Buikgriep is niet leuk:(","januari 2014","53.05844","5.677492","griep"
"Snel beter worden, want met griep op bed is ook niks...","januari 2014","51.77237","5.561712","griep"
"Rugpijn weg maar nu aansluitend geveld door de griep. Lekker begin van 2014. Maar ook geen nieuwjaarsborrel bij @zalenvanveen.","januari 2014","52.98047","6.517282","griep"
"@NandaGriep 😭😭😭😭","januari 2014","52.06373","4.334174","griep"
"Na week griep vandaag weer aan de bak. Met frisse moed. Nu eerst #file.","januari 2014","51.28105","5.653536","griep"
"Mn email ''archiveren'' na een weekje griep... NIET LEUK... Toe aan #zomer vakantie ... @538","januari 2014","51.87347","4.539446","griep"
"Vormgeven met klamme handjes. Waarom voel ik alweer een griep opkomen. #paracetamol #keelpijn #hoofdpijn #zweet #ikgeefernietaantoe","januari 2014","51.59493","4.781963","griep"
"Vandaag maar even geen  #fitness #buikgriep onderdewol","januari 2014","53.16270","6.392980","griep"
"Gezonde maaltijd maken net mijn grieplijf. Bikkel.","januari 2014","52.00469","4.389426","griep"
"Griep","januari 2014","51.77480","5.504725","griep"
"lieverd griep dan verkouden.. bah ik haat dit","januari 2014","52.18142","5.410271","griep"
"@MarinusHuisman Een nieuwe campagnetactiek als raadslid met griep vanuit huis commentaar leveren over de raadsvergadering? #Westvoorne #hmm","januari 2014","51.91072","4.525468","griep"
"@MarinusHuisman Met griep moet je naar bed. #welterusten #beterschap","januari 2014","51.91075","4.525506","griep"
"Buikgriep :(","januari 2014","52.08545","4.752068","griep"
"Jongste heeft #buikgriep. Veel buikpijn en spugen. Nu maar hopen dat ze niet de rest van het gezin aansteekt.","januari 2014","51.69995","5.284701","griep"
"Griep, wat een feest weer. Net nu ik eigenlijk voor de actieweek moet leren vanmiddag, maar men boeken liggen nog in men kluisje..","januari 2014","52.41959","5.872422","griep"
"Ik heb een zielig vogeltje hier op de bank liggen. In betere omstandigheden ook bekend als jongste dochter. #buikgriep","januari 2014","51.70049","5.285708","griep"
"@JeetjeK oh nee....meneer griep heeft je toch nog niet te pakken???","januari 2014","52.23262","4.829641","griep"
"Kan er ook nog wel bij #griep!!😷","januari 2014","53.01482","6.908553","griep"
"Blegh, buikgriepje opgelopen 😔 #beroerd","januari 2014","52.48953","4.745181","griep"
"Ziek griep bah.","januari 2014","52.06412","4.505334","griep"
"De 1e advertentie staat. #griepstuuver @nLestenStuuver http://t.co/d3f4t8QbD0","januari 2014","52.40938","6.895477","griep"
"@KarinSchreuder Haha, ik heb inderdaad nog nooit een grieperige Rus gezien!","januari 2014","52.43384","4.836426","griep"
"Morgen nog zeker een dag thuis.. griep en shit","januari 2014","52.06062","4.241959","griep"
"Oh god, dying up in here, haat aan griep en keelontsteking. Laat me alsjeblieft beter zijn morgen 😩","januari 2014","52.30520","4.654260","griep"
"@fabvdakker #griepje #verkoudheid #rodehond","januari 2014","52.14127","5.381847","griep"
"@hipgemaaktnl @MamaMarketing Oh dat is inderdaad heel angstig &amp daar kan je knap moe van zijn. Gelukkig ''maar'' griep! Sterkte &amp beterschap!","januari 2014","52.06007","4.337091","griep"
"@EOldengarm haha, versta het wel, begriep het nie. #onbegriepeluk","januari 2014","52.91807","6.797840","griep"
"wakker meteen weer bedje in en slapen nog steeds zo ziekk pffffff griep=((","januari 2014","51.93990","6.155121","griep"
"Hallo griep!! Godverrrrrr ga weg!","januari 2014","53.01465","6.908837","griep"
"kuuuuuut ik krijg buikgriep kuuuuuuut","januari 2014","52.25589","6.152226","griep"
"Griepjes :s.","januari 2014","51.89401","4.573122","griep"
"@BuufjeBuufje heb daarentegen al ruim 24 jaar geen griep meer gehad B-)","januari 2014","51.86509","5.584777","griep"
"Eindelijk weer de oude. #hoerengriep","januari 2014","52.57009","6.595791","griep"
"Kind nr 3 is omgevallen! ! Griepje! Moet ik helemaal alleen de paardenstallen mesten! En zijn koeienstal ook! @ongezellig","januari 2014","51.76234","5.278236","griep"
"Na een week van koorts bankhangen griep hebben flauwvallen en een zere keel. Vandaag weer naar school geweest (:","januari 2014","51.89098","4.686871","griep"
"Er heerst bijna een griep epidemie, ben ik even blij met m''n verkoudheid","januari 2014","53.19857","5.778705","griep"
"Hopelijk morgen wel een hele dag te kunnen werken! #griep","januari 2014","51.76354","5.170102","griep"
"@strafbaar_ buikgriep en een zenuwinzinking haha","januari 2014","52.25587","6.152149","griep"
"Word weer nachtje wakker liggen denk ik!!!  Jezussss, gek van!! #griep#i#need#sleep!","januari 2014","53.01487","6.908861","griep"
"#griepepedie in nederland, snel naar een land waar je een #zonnebril nodig hebt","januari 2014","51.81644","4.608073","griep"
"Je hoort overal gekuch en gesnotter. De griepvirus loopt weer rond... :S #fingerscrossed","januari 2014","52.29565","4.844746","griep"
"@IkramCkr hahahaha nee ben echt ziek ik heb een snotter neus tot hier tot Marokko giewon de griepheid heerst :(","januari 2014","52.01968","5.092316","griep"
"Goedemorgen. Rustig ritje naar kantoor. Zit een griepje dwars, paracetamol erin en aan het werk -) http://t.co/xSWcKqj2yC","januari 2014","52.09529","4.404659","griep"
"Nog even terug in bed.Thee, koffietijd,rust.Zo uurtje mijn ogen dicht want ik voel me grieperig.Alweer?Jep, helaas http://t.co/UJKxXYkaid","januari 2014","52.28063","4.805988","griep"
"Dag 3 Griep :-(","januari 2014","52.37009","4.779080","griep"
"""@wilcodewaal: @Elisahvd aawh wat heb je?"" Buikgriep joepieee","januari 2014","52.20987","5.971395","griep"
"@TjerkH veel plezier, ik heb ze helaas allemaal gemist door griep maar kan er nog net 1 meemaken morgenavond.","januari 2014","52.78837","6.092591","griep"
"@MoesGriep Ga ik nog even onderzoeken! 😖","januari 2014","52.19814","5.429193","griep"
"Griep, raadsvergadering @gemvelsen kijken via @rtvseaport (@ De Komeet) http://t.co/hgwAnOdSxb","januari 2014","52.45865","4.598553","griep"
"En toen lag je in eens met de buikgriep -_-","januari 2014","52.64864","4.801699","griep"
"Echt zwaar een buikgriep te pakken denk ik :s !!","januari 2014","53.31231","6.862440","griep"
"#PBBO #Kampen
Tweede politiek café achter de rug. Redelijk tevreden over deze avond. Ondanks grieperig hele avond er kunnen zijn.","januari 2014","52.56347","5.905148","griep"
"Goodmorning, heb een klote griep... maargoed toch mijn bed uit vandaag en proberen alles eruit te halen.","januari 2014","51.94220","4.426129","griep"
"Vandaag helaas vanwege m''n grieperige zoontje niet aan het werk maar in standje Florence Nightinggale. Alvast dank voor jullie begrip!","januari 2014","51.66028","5.292279","griep"
"Dag 4.. Er zit iets verbetering in. #griepje keelpijn nog wel behoorlijk. Zo wachten tot lieve @RomyVoogtx en @isamaassen terugkomen&lt3","januari 2014","52.37009","4.779008","griep"
"@MoesGriep Weer in orde!!! €80,= armer maar wel weer als nieuw! 😄","januari 2014","52.19809","5.429021","griep"
"@MegKoning @janlemster niet meer grieperig Meg ??","januari 2014","53.11859","6.079215","griep"
"Ik ben er klaar voor #tweher voor de buis dat weer wel #griepje","januari 2014","52.30126","6.748895","griep"
"Griepje 😓😷","januari 2014","51.26528","4.090008","griep"
"@carincr goedemorgen,griepje?","januari 2014","51.76993","5.531106","griep"
"Bleh de buikgriep intercity is ook nog is in #Assen gestopt!","januari 2014","53.00651","6.508108","griep"
"supermooi weer en ik lig met griep en misselijkheid en al die shizz in bed 😪","januari 2014","51.87402","5.402765","griep"
"Eindelijk in bed #ziek #lange #werkdag #griep :(","januari 2014","52.02483","5.648709","griep"
"""@joukjebroier: Ik ben wat rillerig. Komt dat door @diederiksamsom of krijg ik griep.""","januari 2014","52.26001","4.567552","griep"
"Hier is het laatste nieuws.Vrouwtje heeft weer de griep te pakken. http://t.co/4I5tBIp4MZ","januari 2014","52.24125","6.898327","griep"
"Geen tijd griep of koorts! Of wat dan ook! #Citrosan #Strepsils #VitamineC #HotColdrex #Leggo http://t.co/Of1oO4GlcX","januari 2014","52.04781","4.236352","griep"
"Geen tijd voor griep of koorts of wat dan ook! #Citrosan #Strepsils #VitamineC #HotColdrex #Leggo http://t.co/WbXEOiciTJ","januari 2014","52.04777","4.236423","griep"
"Griep sucks #griep","januari 2014","52.89002","6.148989","griep"
"Ziekjes #griep","januari 2014","51.66098","5.633229","griep"
"Bah grieperig.. Lekker hangen met een boek 📖","januari 2014","51.88778","5.426849","griep"
"Week 3 in fotovlucht met verjaardag Lysbeth, griep,  uitje voor 23-jarig huwelijk en bij thuis komst… http://t.co/Y4iGXBgoxS","januari 2014","53.28345","5.661045","griep"
"Griep :-/","januari 2014","52.08231","4.908102","griep"
