"tweet_text","tweet_datetime","latitude","longitude"
"Nog 2 weken dan CAMBUUR - dkv #zinin #derbykoorts",2014-01-12 08:35:52,53.1477781,5.8000288
"Nogsteeds koorts",2014-01-12 14:24:45,51.9560834,4.5875789
"Ziek koorts alles :(",2014-01-12 15:03:39,53.3875335,6.509281
"@MarijeGroentjes @loopmaatjes @hardloopmoeders @Loopkoorts @Le_Champion Toppie",2014-01-12 16:01:44,51.93777075,4.46682965
"Gekke @Gewoonbryan0346 heeft beetje koorts denk ik?",2014-01-12 21:08:28,52.14383022,5.009586
"neeh. koorts😷👎",2014-01-12 22:10:24,51.8985287,5.412361
"Heb koorts :(",2014-01-12 23:23:03,52.0737891,5.1130421
"""@GranfTaylorr_: ""@GDTaquesha_: Heb koorts :("" beterschap."" thankyou",2014-01-12 23:23:57,52.07376016,5.113001
"""@JustGreat__: RT @GDTaquesha_: Heb koorts :( • Beterschap 😘"" thanks monkey",2014-01-12 23:26:32,52.07376016,5.113001
"Morgen maar weer is beginnen met medicijnen tegen de hooikoorts :(",2014-01-12 23:51:08,51.4509816,5.4745544
"Koorts, verkouden en bijna geen stem meer.. perfecte timing om ziek te worden! #check-in examen #spreekexamens 🙈👌",2014-01-12 23:55:02,52.69258234,6.19331586
"Top...Koortslip :(",2014-01-13 00:37:54,52.03504812,5.17360594
"Wie heeft er nog meer last v hooikoorts verschijnselen? Mijn zoontje niest zich suf en jeukende ogen, #isookraarweer",2014-01-13 06:57:49,51.69399236,4.20631437
"waarom heb ik altijd koorts 😷",2014-01-13 07:32:49,51.8985819,5.4122809
"Uiteraard weer lekker koorts. Word er gek van. 😒",2014-01-13 08:42:12,51.59245341,4.46354872
"Tsjha,daar lig je dan, in bed,met koorts #zucht",2014-01-13 09:35:02,52.7946987,6.7146675
"Komt de #carnavalskoorts nu alweer. Lang leve de rivieren.",2014-01-13 18:41:05,51.9184477,4.598035
"@tonvvl @Bibliotheek030 wat verkiezingskoorts niet allemaal met politici doet #raad030 #bieb++",2014-01-13 19:22:10,52.08876892,4.39986817
"De goudkoorts is weer begonnen @goldrush    Go Hoffman",2014-01-13 20:21:53,52.62017843,6.04095932
"Al paar dagen misselijk en nu ook koppijn en koorts. Heerlijk zo midden in de toetsweek 👍",2014-01-13 20:28:20,52.130267,5.9641279
"#sister #me #mom #and #my #sexy #sunglasses #last #summer #in #Mersin #Turkey #hooikoorts #happy… http://t.co/SUqvXY1RZa",2014-01-13 20:53:23,52.44018793,4.8505884
"@iProLgend @Ties1999 ja tuurlijk. De FIFA koorts. Die heerst.",2014-01-13 21:49:34,52.15959434,4.49329747
"Wat voel ik me waardeloos! Afgelopen nacht wakker geweest en zal vannacht niet veel beter zijn. #ziek #koorts",2014-01-13 21:56:27,51.5846961,4.815827
"had vanacht 38graden koorts en ben nu omw stage'' pfft",2014-01-14 07:15:23,52.4988368,6.2596193
"Verkoudheid/hooikoorts. Word facking gek.",2014-01-14 12:13:57,52.7216295,5.7318917
