"tweet_text","tweet_datetime","latitude","longitude"
"Nog 2 weken dan CAMBUUR - dkv #zinin #derbykoorts","januari 2014","53.14778","5.800029"
"Nogsteeds koorts","januari 2014","51.95608","4.587579"
"Ziek koorts alles :(","januari 2014","53.38753","6.509281"
"@MarijeGroentjes @loopmaatjes @hardloopmoeders @Loopkoorts @Le_Champion Toppie","januari 2014","51.93777","4.466830"
"Gekke @Gewoonbryan0346 heeft beetje koorts denk ik?","januari 2014","52.14383","5.009586"
"neeh. koorts😷👎","januari 2014","51.89853","5.412361"
"Heb koorts :(","januari 2014","52.07379","5.113042"
"""@GranfTaylorr_: ""@GDTaquesha_: Heb koorts :("" beterschap."" thankyou","januari 2014","52.07376","5.113001"
"""@JustGreat__: RT @GDTaquesha_: Heb koorts :( • Beterschap 😘"" thanks monkey","januari 2014","52.07376","5.113001"
"Koorts, verkouden en bijna geen stem meer.. perfecte timing om ziek te worden! #check-in examen #spreekexamens 🙈👌","januari 2014","52.69258","6.193316"
"waarom heb ik altijd koorts 😷","januari 2014","51.89858","5.412281"
"Uiteraard weer lekker koorts. Word er gek van. 😒","januari 2014","51.59245","4.463549"
"Tsjha,daar lig je dan, in bed,met koorts #zucht","januari 2014","52.79470","6.714668"
"@tonvvl @Bibliotheek030 wat verkiezingskoorts niet allemaal met politici doet #raad030 #bieb++","januari 2014","52.08877","4.399868"
"Al paar dagen misselijk en nu ook koppijn en koorts. Heerlijk zo midden in de toetsweek 👍","januari 2014","52.13027","5.964128"
"@iProLgend @Ties1999 ja tuurlijk. De FIFA koorts. Die heerst.","januari 2014","52.15959","4.493297"
"Wat voel ik me waardeloos! Afgelopen nacht wakker geweest en zal vannacht niet veel beter zijn. #ziek #koorts","januari 2014","51.58470","4.815827"
"had vanacht 38graden koorts en ben nu omw stage'' pfft","januari 2014","52.49884","6.259619"
"Van al die kookprogramma''s krijg je tegenwoordig ook spontaan koorts van","januari 2014","52.05320","6.116292"
"@Mevr_Lambrechts Voel me al wel iets beter en wou wel naar school, maar m''n moeder vond dat nog geen goed idee, heb nog steeds koorts..","januari 2014","52.76065","6.883476"
"Lekkere kriebelhoest, koorts en een verstopte neus hihihi","januari 2014","51.48852","5.482772"
"En daar liggen we dan met koorts in bed, ontzettende buikpijn en slechte ademhaling! 👎😢😖","januari 2014","51.97523","4.613673"
"Pittige koorts","januari 2014","52.80664","6.656808"
"3e nacht zonder slaap! Wtf is er met mij aan de hand? Morgen toch maar ff langs de doktor. #koorts #slapelozenachten","januari 2014","51.58467","4.815805"
"Nog een dagje thuis vandaag, nog steeds koortsig","januari 2014","51.97527","4.613843"
"koorts...  godverdomme","januari 2014","52.37343","4.944840"
"Gek hoge koorts 😒🔫","januari 2014","52.09585","5.212603"
"koorts en kotsen nou wat een feest","januari 2014","52.25586","6.152146"
"@mauranka iets beter gelukkig!! Hoest nog wel, maar koorts is weg!","januari 2014","51.86767","4.374288"
"Na een week van koorts bankhangen griep hebben flauwvallen en een zere keel. Vandaag weer naar school geweest (:","januari 2014","51.89098","4.686871"
