"tweet_text","tweet_datetime","latitude","longitude","keyword"
"nog steeds verkouden","januari 2014","52.65112","6.748114","verkoud"
"Oh lekker, was vergeten hoe t was om ffing verkouden te zijn tijdens de pww","januari 2014","51.48855","5.482616","verkoud"
"Ben benieuwd wat 2014 nog meer voor mij in petto heeft. Nu weer snipverkouden :-(","januari 2014","51.83631","5.872051","verkoud"
"Godver focking verkouden &amp alweer koppijn (","januari 2014","52.54907","5.924020","verkoud"
"Ugh. Ziekjes :( misselijk, hoofdpijn. Zwaar verkouden. Fuck you winter.","januari 2014","51.56723","5.090209","verkoud"
"Meisje heel rustig #verkouden ik lekker dag rommelen in de keuken #koekjes appelmoes en pasta en vanavond nog even hardlopen prima zondag","januari 2014","51.85600","4.469463","verkoud"
"Hathjoee!! #verkouden","januari 2014","51.49106","5.518716","verkoud"
"Pff verkouden 😔","januari 2014","52.22877","6.916346","verkoud"
"""@xo_Sabina_ox: @xLaurabakker99 bofkont. Snot verkouden hoofd helemaal dicht mweh :("" dat heb ik wel een beetje haha👍","januari 2014","52.41833","5.866036","verkoud"
"Verkouden enzo #feest #weltrusten","januari 2014","52.71888","6.472435","verkoud"
"Neusspray gedaan voor verkoudheid. Niet bepaald fijn.","januari 2014","51.83293","5.798610","verkoud"
"inbed. finally ! keelpijn verkouden hoofdpijm #likehell.","januari 2014","52.31057","6.993858","verkoud"
"ik haat verkouden zijn kk irri","januari 2014","52.07930","5.015565","verkoud"
"Hey, leuk joh zo''n verstopte neus. Lekker verkouden zijn tijdens toetsweek..","januari 2014","52.44955","4.838220","verkoud"
"Koorts, verkouden en bijna geen stem meer.. perfecte timing om ziek te worden! #check-in examen #spreekexamens 🙈👌","januari 2014","52.69258","6.193316","verkoud"
"Verkouden, verschrikkelijk 😒","januari 2014","50.87165","5.961997","verkoud"
"gvd, ik ben zo verkouden","januari 2014","52.23048","4.739557","verkoud"
"verkouden, keelpijn&amp rugpijn","januari 2014","52.23038","4.739590","verkoud"
"Tuk volgens mij ben ik verkouden :-S","januari 2014","51.85459","5.607422","verkoud"
"heeeerlijk in me bedje #ziek #verkouden #kut!!! http://t.co/XQ5VU3e3Oq","januari 2014","51.70759","5.564576","verkoud"
"Leren voor zakelijk schrijven sucks...#fml #snotverkouden","januari 2014","50.84685","5.700924","verkoud"
"Buikpijn , keelpijn, hoofdpijn, verkouden :''(:''(","januari 2014","52.94492","4.757191","verkoud"
"Verkouden ):","januari 2014","51.29159","4.054633","verkoud"
"Naar @VVDAmsterdam nieuwjaarsreceptie met lichte verkoudheid maar liberalisme gaat voor! #vvd","januari 2014","52.35200","4.897373","verkoud"
"Leuk joh zo''n heledag misselijk en verkouden thuis zitten..","januari 2014","53.20765","5.763532","verkoud"
"verkouden 😒","januari 2014","51.60330","4.734348","verkoud"
"Vandaag maar eens vroeg gaan slapen#verkouden","januari 2014","52.28312","5.961049","verkoud"
"Verkouden","januari 2014","52.23783","4.451460","verkoud"
"Na die rot verkoudheid vandaag de eerste stap richting het sportiefste jaar ooit gezet! :) #sportieveambities","januari 2014","52.49571","4.808210","verkoud"
"kut verkoudheid","januari 2014","53.27909","6.691442","verkoud"
