"tweet_text","tweet_datetime","latitude","longitude"
"nog steeds verkouden","2014-01-12 08:04:31","52.65112","6.748114"
"Oh lekker, was vergeten hoe t was om ffing verkouden te zijn tijdens de pww","2014-01-12 08:32:04","51.48855","5.482616"
"Ben benieuwd wat 2014 nog meer voor mij in petto heeft. Nu weer snipverkouden :-(","2014-01-12 10:55:24","51.83631","5.872051"
"Godver focking verkouden &amp alweer koppijn (","2014-01-12 10:56:27","52.54907","5.924020"
"Ugh. Ziekjes :( misselijk, hoofdpijn. Zwaar verkouden. Fuck you winter.","2014-01-12 13:17:32","51.56723","5.090209"
"Meisje heel rustig #verkouden ik lekker dag rommelen in de keuken #koekjes appelmoes en pasta en vanavond nog even hardlopen prima zondag","2014-01-12 14:35:35","51.85600","4.469463"
"Hathjoee!! #verkouden","2014-01-12 16:30:27","51.49106","5.518716"
"Pff verkouden 😔","2014-01-12 17:21:06","52.22877","6.916346"
"""@xo_Sabina_ox: @xLaurabakker99 bofkont. Snot verkouden hoofd helemaal dicht mweh :("" dat heb ik wel een beetje haha👍","2014-01-12 20:47:05","52.41833","5.866036"
"Verkouden enzo #feest #weltrusten","2014-01-12 21:05:51","52.71888","6.472435"
"Neusspray gedaan voor verkoudheid. Niet bepaald fijn.","2014-01-12 21:08:10","51.83293","5.798610"
"inbed. finally ! keelpijn verkouden hoofdpijm #likehell.","2014-01-12 21:32:32","52.31057","6.993858"
"ik haat verkouden zijn kk irri","2014-01-12 21:38:30","52.07930","5.015565"
"Hey, leuk joh zo''n verstopte neus. Lekker verkouden zijn tijdens toetsweek..","2014-01-12 23:19:39","52.44955","4.838220"
"Koorts, verkouden en bijna geen stem meer.. perfecte timing om ziek te worden! #check-in examen #spreekexamens 🙈👌","2014-01-12 23:55:02","52.69258","6.193316"
"Verkouden, verschrikkelijk 😒","2014-01-13 06:14:03","50.87165","5.961997"
"gvd, ik ben zo verkouden","2014-01-13 08:45:49","52.23048","4.739557"
"verkouden, keelpijn&amp rugpijn","2014-01-13 09:22:58","52.23038","4.739590"
"Tuk volgens mij ben ik verkouden :-S","2014-01-13 09:29:58","51.85459","5.607422"
"heeeerlijk in me bedje #ziek #verkouden #kut!!! http://t.co/XQ5VU3e3Oq","2014-01-13 10:36:02","51.70759","5.564576"
"Leren voor zakelijk schrijven sucks...#fml #snotverkouden","2014-01-13 12:45:19","50.84685","5.700924"
"Buikpijn , keelpijn, hoofdpijn, verkouden :''(:''(","2014-01-13 13:52:31","52.94492","4.757191"
"Verkouden ):","2014-01-13 15:11:56","51.29159","4.054633"
"Naar @VVDAmsterdam nieuwjaarsreceptie met lichte verkoudheid maar liberalisme gaat voor! #vvd","2014-01-13 17:26:58","52.35200","4.897373"
"Leuk joh zo''n heledag misselijk en verkouden thuis zitten..","2014-01-13 17:43:41","53.20765","5.763532"
"verkouden 😒","2014-01-13 17:46:29","51.60330","4.734348"
"Vandaag maar eens vroeg gaan slapen#verkouden","2014-01-13 17:58:49","52.28312","5.961049"
"Verkouden","2014-01-13 19:07:02","52.23783","4.451460"
"Na die rot verkoudheid vandaag de eerste stap richting het sportiefste jaar ooit gezet! :) #sportieveambities","2014-01-13 19:39:41","52.49571","4.808210"
"kut verkoudheid","2014-01-13 20:13:55","53.27909","6.691442"
"Met een verkouden hoofd en een plaid om de schouders op de bank. Luister met half oor via internet naar Raad in HS.","2014-01-13 20:21:34","53.12844","6.417885"
"lieverd griep dan verkouden.. bah ik haat dit","2014-01-13 20:29:15","52.18142","5.410271"
"pff niet kunnen slapen, zo verkouden en zo kapot veel hoofdpijn -,-''","2014-01-13 20:45:47","52.57757","6.642405"
"Facking verkouden, maar toch proberen te slapen.........Byee xoxo","2014-01-13 21:58:24","53.00337","6.934975"
"Slapen hoofdpijn, buikpijn , oorpijn en verkouden doei","2014-01-13 21:58:56","51.59798","4.780863"
"Harrejasses... Net wat beter begin ik weer ziek te worden :S oren half dicht en verkoudheid weer erger #wanneerstopthet","2014-01-13 22:20:20","53.18510","6.134039"
"@J_MeMusic I''m doing ok lil'' bro! Wel verkouden maar wel ok. Even weekend van de show. How are u??","2014-01-13 22:53:31","52.35085","4.794531"
"Gisteren 35 nieuwe Nederlanders verwelkomt. Daarna gelijk mijn bedje in. #verkouden #keelpijn #ziek @PvdACapelle","2014-01-14 04:44:02","51.92870","4.589639"
"vandaag thuisblijven #ugh #ziek #verkouden","2014-01-14 06:03:45","51.61737","4.748403"
"Keelpijn en verkouden (","2014-01-14 06:14:20","51.61281","4.818194"
"""@bramzero76: ""@gwn_jasper1: vandaag thuisblijven #ugh #ziek #verkouden"" ag man, kik nie zo zuur"" hou oewe kkrsmoel is","2014-01-14 06:27:49","51.61736","4.748402"
"verkouden 👎","2014-01-14 06:34:14","52.69854","6.757100"
"Aah ik word stront verkouden. Lymfe klieren super dik en het begon met een beginnende oorontsteking. Yeah. Fun.","2014-01-14 08:01:14","52.82373","6.313742"
"Godver verkouden","2014-01-14 08:31:07","53.23487","6.255838"
"maar naar huis gegaan, heel erg last van verkoudheid en hoofd-, keel- en oorpijn :( #feelingsick","2014-01-14 09:10:03","52.30087","6.499911"
"Aan t werk.... 😑😴😷  zwaar vermoeiend en nog steeds verkouden","2014-01-14 09:26:52","53.21090","5.836979"
"Weer even onder de wol gedoken #snotverkouden","2014-01-14 09:43:09","51.81707","5.472862"
"“@Hasan_Saritas: Gisteren 35 nieuwe Nederlanders verwelkomt. Daarna gelijk mijn bedje in. #verkouden #keelpijn #ziek @PvdACapelle”Beterschap","2014-01-14 10:03:29","51.95248","4.579255"
